#       xJ          yJ
#  
  1.078050   0.882450
  1.078300   0.881920
  1.078550   0.880648
  1.078800   0.880118
  1.079050   0.879058
  1.079300   0.878422
  1.079550   0.879058
  1.079800   0.879376
  1.080050   0.878422
  1.080300   0.878316
  1.080550   0.879588
  1.080800   0.880436
  1.081050   0.881390
  1.081300   0.883616
  1.081550   0.884782
  1.081800   0.885206
  1.082050   0.886690
  1.082300   0.888068
  1.082550   0.888704
  1.082800   0.890188
  1.083050   0.892732
  1.083300   0.894428
  1.083550   0.895064
  1.083800   0.896866
  1.084050   0.899622
  1.084300   0.901318
  1.084550   0.903120
  1.084800   0.904816
  1.085050   0.905452
  1.085300   0.906830
  1.085550   0.909692
  1.085800   0.911388
  1.086050   0.912872
  1.086300   0.915522
  1.086550   0.917112
  1.086800   0.917854
  1.087050   0.919550
  1.087300   0.921564
  1.087550   0.923154
  1.087800   0.924744
  1.088050   0.926334
  1.088300   0.926758
  1.088550   0.926864
  1.088800   0.928348
  1.089050   0.929408
  1.089300   0.929832
  1.089550   0.930998
  1.089800   0.931740
  1.090050   0.931740
  1.090300   0.932906
  1.090550   0.934708
  1.090800   0.935026
  1.091050   0.934496
  1.091300   0.934814
  1.091550   0.934708
  1.091800   0.933542
  1.092050   0.933118
  1.092300   0.932694
  1.092550   0.931740
  1.092800   0.931846
  1.093050   0.932376
  1.093300   0.930998
  1.093550   0.929620
  1.093800   0.929302
  1.094050   0.928560
  1.094300   0.927924
  1.094550   0.928136
  1.094800   0.928030
  1.095050   0.926864
  1.095300   0.925910
  1.095550   0.924744
  1.095800   0.921988
  1.096050   0.919762
  1.096300   0.918808
  1.096550   0.916900
  1.096800   0.915522
  1.097050   0.915098
  1.097300   0.913932
  1.097550   0.912872
  1.097800   0.912130
  1.098050   0.911070
  1.098300   0.909586
  1.098550   0.909374
  1.098800   0.909586
  1.099050   0.908208
  1.099300   0.906830
  1.099550   0.907254
  1.099800   0.907572
  1.100050   0.907466
  1.100300   0.908314
  1.100550   0.908844
  1.100800   0.908632
  1.101050   0.908844
  1.101300   0.909586
  1.101550   0.909904
  1.101800   0.908950
  1.102050   0.907890
  1.102300   0.908208
  1.102550   0.909374
  1.102800   0.910010
  1.103050   0.910116
  1.103300   0.910328
  1.103550   0.910964
  1.103800   0.912024
  1.104050   0.912978
  1.104300   0.914356
  1.104550   0.916158
  1.104800   0.916794
  1.105050   0.916476
  1.105300   0.917642
  1.105550   0.919444
  1.105800   0.920504
  1.106050   0.921988
  1.106300   0.924320
  1.106550   0.925274
  1.106800   0.926440
  1.107050   0.928878
  1.107300   0.930574
  1.107550   0.932058
  1.107800   0.934708
  1.108050   0.936722
  1.108300   0.937252
  1.108550   0.938206
  1.108800   0.939902
  1.109050   0.941386
  1.109300   0.942976
  1.109550   0.945096
  1.109800   0.946368
  1.110050   0.947110
  1.110300   0.948276
  1.110550   0.949336
  1.110800   0.950184
  1.111050   0.951668
  1.111300   0.953152
  1.111550   0.953258
  1.111800   0.952728
  1.112050   0.953046
  1.112300   0.952410
  1.112550   0.951138
  1.112800   0.950820
  1.113050   0.950396
  1.113300   0.949230
  1.113550   0.948700
  1.113800   0.947746
  1.114050   0.945944
  1.114300   0.944778
  1.114550   0.943082
  1.114800   0.939690
  1.115050   0.935980
  1.115300   0.933012
  1.115550   0.929302
  1.115800   0.924956
  1.116050   0.920610
  1.116300   0.916158
  1.116550   0.910858
  1.116800   0.904816
  1.163300   0.901005
  1.163550   0.903525
  1.163800   0.907200
  1.164050   0.911925
  1.164300   0.916965
  1.164550   0.920010
  1.164800   0.921585
  1.165050   0.923790
  1.165300   0.927990
  1.165550   0.933555
  1.165800   0.938490
  1.166050   0.942900
  1.166300   0.946155
  1.166550   0.945945
  1.166800   0.943425
  1.167050   0.942270
  1.167300   0.942165
  1.167550   0.941850
  1.167800   0.942165
  1.168050   0.942585
  1.168300   0.943635
  1.168550   0.946365
  1.168800   0.949305
  1.169050   0.951405
  1.169300   0.954135
  1.169550   0.958650
  1.169800   0.960645
  1.170050   0.959175
  1.170300   0.957705
  1.170550   0.956760
  1.170800   0.957075
  1.171050   0.958335
  1.171300   0.959070
  1.171550   0.959595
  1.171800   0.961170
  1.172050   0.964215
  1.172300   0.965580
  1.172550   0.963690
  1.172800   0.961800
  1.173050   0.960855
  1.173300   0.958965
  1.173550   0.956025
  1.173800   0.955185
  1.174050   0.955395
  1.174300   0.954450
  1.174550   0.955500
  1.174800   0.958440
  1.175050   0.960645
  1.175300   0.963900
  1.175550   0.966735
  1.175800   0.966210
  1.176050   0.964740
  1.176300   0.965055
  1.176550   0.966630
  1.176800   0.967365
  1.177050   0.968205
  1.177300   0.970725
  1.177550   0.971460
  1.177800   0.968730
  1.178050   0.966735
  1.178300   0.968310
  1.178550   0.971145
  1.178800   0.973140
  1.179050   0.974925
  1.179300   0.976500
  1.179550   0.976710
  1.179800   0.976395
  1.180050   0.974820
  1.180300   0.971040
  1.180550   0.968415
  1.180800   0.968625
  1.181050   0.968205
  1.181300   0.966105
  1.181550   0.965055
  1.181800   0.965790
  1.182050   0.966000
  1.182300   0.965790
  1.182550   0.965055
  1.182800   0.962430
  1.183050   0.959910
  1.183300   0.959385
  1.183550   0.959595
  1.183800   0.958230
  1.184050   0.956550
  1.184300   0.957180
  1.184550   0.958755
  1.184800   0.960015
  1.185050   0.960960
  1.185300   0.961380
  1.185550   0.961695
  1.185800   0.962850
  1.186050   0.964740
  1.186300   0.964845
  1.186550   0.963270
  1.186800   0.961275
  1.187050   0.958860
  1.187300   0.958020
  1.187550   0.957915
  1.187800   0.957810
  1.188050   0.959280
  1.188300   0.961170
  1.188550   0.962010
  1.188800   0.961485
  1.189050   0.960330
  1.189300   0.960750
  1.189550   0.962955
  1.189800   0.965265
  1.190050   0.966840
  1.190300   0.967995
  1.190550   0.968310
  1.190800   0.968205
  1.191050   0.969150
  1.191300   0.970410
  1.191550   0.970620
  1.191800   0.969150
  1.192050   0.966315
  1.192300   0.964530
  1.192550   0.966315
  1.192800   0.969150
  1.193050   0.971355
  1.193300   0.972615
  1.193550   0.970305
  1.193800   0.965580
  1.194050   0.961065
  1.194300   0.956445
  1.194550   0.952245
  1.194800   0.948990
  1.195050   0.947835
  1.195300   0.947415
  1.195550   0.945945
  1.195800   0.945210
  1.196050   0.946680
  1.196300   0.948885
  1.196550   0.949725
  1.196800   0.949725
  1.197050   0.948465
  1.197300   0.944895
  1.197550   0.942375
  1.197800   0.941220
  1.198050   0.939435
